여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_004877,소노벨 제주(구 대명리조트 제주),숙박,리조트/콘도,제주,제주특별자치도 제주시 조천읍 신북로 577,126.6718093,33.54144755
TRAVEL_004878,소노캄 여수(구 엠블호텔 여수),숙박,호텔,전남,전라남도 여수시 오동도로 111,127.7550498,34.74131537
TRAVEL_004879,소돌아들바위공원,관광지,공원,강원,강원도 강릉시 주문진읍 해안로 1960,128.830007,37.904909
TRAVEL_004880,소등섬,관광지,섬,전남,전남 장흥군 용산면 상발리 산 225,126.997578,34.604557
TRAVEL_004881,소라고래집,음식점,기타,울산,울산광역시 남구 장생포고래로 241,129.3805153,35.50351762
TRAVEL_004882,소래역사관,관광지,전시관,인천,인천광역시 남동구 아암대로 1605,126.737506,37.39823617
TRAVEL_004883,소록도,관광지,섬,전남,전라남도 고흥군 도양읍 소록선창길 124 (도양읍소록도출장소),127.126829,34.51581
TRAVEL_004884,소매물도,관광지,섬,경남,경상남도 통영시 한산면 소매물도길 65(한산면) 일대,128.5498197,34.6258867
TRAVEL_004885,소문난드림낚시터,체험,기타레저,강원,강원도 춘천시 서면 덕두원리 38-7,127.6592682,37.82494774
TRAVEL_004886,소안도,관광지,섬,전남,전라남도 완도군 소안면 비자2길 38-3,126.6509992,34.17485458
TRAVEL_004887,소안항일운동기념관,관광지,전시관,전남,전라남도 완도군 소안면 소안로 263,126.6528992,34.16711381
TRAVEL_004888,소양호 유람선,체험,기타레저,강원,강원도 춘천시 북산면 신샘밭로 1133(북산면),127.8161002,37.95167482
TRAVEL_004889,소전미술관(진도군),관광지,전시관,전남,전라남도 진도군 진도읍 철마길 29,126.264648,34.4869717
TRAVEL_004890,소호동동다리,관광지,기타관광지,전남,전라남도 여수시 소호로 392(소호동),127.6508812,34.73884162
TRAVEL_004891,속초 등대전망대,관광지,전망대/조망시설,강원,강원도 속초시 영금정로5길 8-28(영랑동),128.6003708,38.2133149
TRAVEL_004892,속초 설악해맞이공원,관광지,공원,강원,강원도 속초시 동해대로 3664(대포동),128.6084328,38.16288482
TRAVEL_004893,속초 수제맥주 축제(Sokcho Beer Shower Festival),관광지,축제/행사,강원,강원도 속초시 해오름로 194(조양동),128.6016742,38.19058146
TRAVEL_004894,속초 외옹치 바다향기로,관광지,기타관광지,강원,강원도 속초시 대포항길 186,128.6130735,38.1806995
TRAVEL_004895,속초 음악불꽃크루즈,관광지,축제/행사,강원,강원도 속초시 중앙로 214-1,128.5934271,38.20960964
TRAVEL_004896,속초 해맞이,관광지,축제/행사,강원,강원도 속초시 해오름로 186-2,128.6050462,38.18872619
TRAVEL_004897,속초관광수산시장 (구: 중앙시장),쇼핑,어시장,강원,강원도 속초시 중앙로147번길 12(중앙동),128.5905498,38.20399357
TRAVEL_004898,속초시립박물관·속초실향민문화촌,관광지,기타관광지,강원,강원도 속초시 신흥2길 16(노학동),128.5396212,38.2005291
